FullDate,DateKey,Day,Month,Quarter,Year
2013-12-24,358,24,12,4,2013
2013-12-25,359,25,12,4,2013
2013-12-26,360,26,12,4,2013
2013-12-27,361,27,12,4,2013
2013-12-28,362,28,12,4,2013
2013-12-29,363,29,12,4,2013
2013-12-30,364,30,12,4,2013
2013-12-31,365,31,12,4,2013
2014-01-01,366,1,1,1,2014
2014-01-02,367,2,1,1,2014
2014-01-03,368,3,1,1,2014
2014-01-04,369,4,1,1,2014
2014-01-05,370,5,1,1,2014
2014-01-06,371,6,1,1,2014
2014-01-07,372,7,1,1,2014
2014-01-08,373,8,1,1,2014
2014-01-09,374,9,1,1,2014
2014-01-10,375,10,1,1,2014
2014-01-11,376,11,1,1,2014
2014-01-12,377,12,1,1,2014
2014-01-13,378,13,1,1,2014
2014-01-14,379,14,1,1,2014
2014-01-15,380,15,1,1,2014
2014-01-16,381,16,1,1,2014
2014-01-17,382,17,1,1,2014
2014-01-18,383,18,1,1,2014
2014-01-19,384,19,1,1,2014
2014-01-20,385,20,1,1,2014
2014-01-21,386,21,1,1,2014
2014-01-22,387,22,1,1,2014
2014-01-23,388,23,1,1,2014
2014-01-24,389,24,1,1,2014
2014-01-25,390,25,1,1,2014
2014-01-26,391,26,1,1,2014
2014-01-27,392,27,1,1,2014
2014-01-28,393,28,1,1,2014
2014-01-29,394,29,1,1,2014
2014-01-30,395,30,1,1,2014
2014-01-31,396,31,1,1,2014
2014-02-01,397,1,2,1,2014
2014-02-02,398,2,2,1,2014
2014-02-03,399,3,2,1,2014
2014-02-04,400,4,2,1,2014
2014-02-05,401,5,2,1,2014
2014-02-06,402,6,2,1,2014
2014-02-07,403,7,2,1,2014
2014-02-08,404,8,2,1,2014
2014-02-09,405,9,2,1,2014
2014-02-10,406,10,2,1,2014
2014-02-11,407,11,2,1,2014
2014-02-12,408,12,2,1,2014
2014-02-13,409,13,2,1,2014
2014-02-14,410,14,2,1,2014
2014-02-15,411,15,2,1,2014
2014-02-16,412,16,2,1,2014
2014-02-17,413,17,2,1,2014
2014-02-18,414,18,2,1,2014
2014-02-19,415,19,2,1,2014
2014-02-20,416,20,2,1,2014
2014-02-21,417,21,2,1,2014
2014-02-22,418,22,2,1,2014
2014-02-23,419,23,2,1,2014
2014-02-24,420,24,2,1,2014
2014-02-25,421,25,2,1,2014
2014-02-26,422,26,2,1,2014
2014-02-27,423,27,2,1,2014
2014-02-28,424,28,2,1,2014
2014-03-01,425,1,3,1,2014
2014-03-02,426,2,3,1,2014
2014-03-03,427,3,3,1,2014
2014-03-04,428,4,3,1,2014
2014-03-05,429,5,3,1,2014
2014-03-06,430,6,3,1,2014
